,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Mataura,0,NZ,1592518526,83,-46.19,168.86,39.0,3.0
1,Biltine,12,TD,1592518527,53,14.53,20.92,79.66,17.36
2,Mar del Plata,40,AR,1592518528,87,-38.0,-57.56,54.0,8.05
3,Punta Arenas,90,CL,1592518529,86,-53.15,-70.92,39.2,14.99
4,Fortuna,20,US,1592518366,68,40.6,-124.16,68.0,12.75
5,Carnarvon,0,AU,1592518532,76,-24.87,113.63,57.2,11.41
6,Bredasdorp,0,ZA,1592518533,93,-34.53,20.04,44.6,5.08
7,Dikson,90,RU,1592518534,98,73.51,80.55,32.94,17.05
8,Stargard,90,PL,1592518535,93,53.34,15.05,59.0,8.05
9,Farakka,97,IN,1592518536,87,24.82,87.9,81.81,2.55
10,Wanning,69,CN,1592518538,89,18.8,110.4,80.91,8.55
11,Puerto Ayora,75,EC,1592518539,51,-0.74,-90.35,82.4,20.8
12,Cape Town,0,ZA,1592518540,44,-33.93,18.42,63.0,3.36
13,Lüderitz,0,NA,1592518414,30,-26.65,15.16,71.6,8.05
14,Rikitea,100,PF,1592518542,85,-23.12,-134.97,75.67,15.82
15,Kavieng,21,PG,1592518543,71,-2.57,150.8,83.32,3.85
16,George Town,20,MY,1592518544,94,5.41,100.34,80.6,4.7
17,Dunedin,58,NZ,1592518546,76,-45.87,170.5,45.0,10.0
18,Monster,81,NL,1592518418,89,52.03,4.17,61.0,1.01
19,East London,0,ZA,1592518309,67,-33.02,27.91,63.41,15.01
20,Namie,99,JP,1592518312,94,37.48,141.0,66.0,1.21
21,Mongoumba,90,CF,1592518550,82,3.64,18.59,72.25,2.08
22,Jamestown,20,US,1592518551,39,42.1,-79.24,80.6,9.17
23,Ulaanbaatar,40,MN,1592518454,81,47.91,106.88,53.6,2.24
24,New Norfolk,100,AU,1592518554,87,-42.78,147.06,39.0,2.17
25,Emba,50,KZ,1592518555,57,48.83,58.14,65.88,8.16
26,Hailar,75,CN,1592518556,81,49.2,119.7,60.55,3.94
27,Ust-Maya,0,RU,1592518557,62,60.42,134.53,65.12,5.75
28,Alakurtti,100,RU,1592518559,88,66.97,30.35,57.02,1.5
29,Port-Gentil,90,GA,1592518446,88,-0.72,8.78,77.0,5.82
30,Saint-Philippe,75,RE,1592518301,77,-21.36,55.77,71.6,23.04
31,Pevek,23,RU,1592518327,70,69.7,170.31,41.27,9.01
32,Barrow,1,US,1592518502,65,71.29,-156.79,46.4,8.05
33,Cayenne,40,GF,1592518564,83,4.93,-52.33,80.6,4.7
34,Cherskiy,0,RU,1592518565,30,68.75,161.3,74.16,8.41
35,Conway,40,US,1592518439,43,35.09,-92.44,88.0,5.82
36,Ushuaia,22,AR,1592518294,69,-54.8,-68.3,35.6,4.7
37,Vaini,20,TO,1592518569,78,-21.2,-175.2,75.2,11.41
38,Tevaitoa,93,PF,1592518570,77,-16.78,-151.5,80.53,0.89
39,Imeni Poliny Osipenko,99,RU,1592518326,92,52.42,136.49,46.53,10.42
40,Busselton,46,AU,1592518340,98,-33.65,115.33,37.99,3.27
41,Arrondissement de Saintes,36,FR,1592518573,82,45.67,-0.75,57.2,3.36
42,Srednekolymsk,18,RU,1592518575,19,67.45,153.68,84.52,5.48
43,Upernavik,0,GL,1592518576,81,72.79,-56.15,36.43,11.7
44,Port Alfred,0,ZA,1592518577,53,-33.59,26.89,62.33,12.41
45,Peniche,0,PT,1592518578,83,39.36,-9.38,63.0,8.01
46,Bukachacha,8,RU,1592518326,89,52.98,116.92,53.83,2.8
47,Hermanus,0,ZA,1592518580,79,-34.42,19.23,51.01,1.99
48,Zhigansk,16,RU,1592518581,59,66.77,123.37,66.16,5.61
49,Terney,95,RU,1592518583,89,45.05,136.61,50.99,4.21
50,Avarua,73,CK,1592518361,64,-21.21,-159.78,75.2,10.29
51,Kapaa,90,US,1592518585,83,22.08,-159.32,79.0,18.34
52,Ayan,70,RU,1592518586,89,56.45,138.17,44.92,2.04
53,Butaritari,99,KI,1592518587,60,3.07,172.79,83.32,1.5
54,Kaitangata,16,NZ,1592518588,65,-46.28,169.85,46.0,1.99
55,Qaanaaq,0,GL,1592518589,86,77.48,-69.36,34.61,2.01
56,Hilo,75,US,1592518296,58,19.73,-155.09,82.4,9.17
57,Nāgamangala,100,IN,1592518592,83,12.82,76.76,71.58,8.37
58,San Cristobal,75,VE,1592518593,88,7.77,-72.22,77.0,12.75
59,Cidreira,87,BR,1592518594,88,-30.18,-50.21,68.34,8.9
60,Bluff,0,NZ,1592518595,83,-46.6,168.33,39.0,3.0
61,Kandalaksha,100,RU,1592518596,90,67.16,32.41,55.08,3.18
62,Texarkana,20,US,1592518578,46,33.43,-94.05,89.6,11.41
